"","No.","Player","Pos","Ht","Wt","Birth.Date","Exp","College","Team"
"311","55","Earl Clark","PF","6-10",225,"January 17 1988","5","University of Louisville","Nets"
"312","20","Brandon Davies","PF","6-10",240,"July 25 1991","1","Brigham Young University","Nets"
"313","2","Kevin Garnett","PF","6-11",240,"May 19 1976","19","","Nets"
"314","13","Jorge Gutierrez","PG","6-3",191,"December 27 1988","1","University of California","Nets"
"315","0","Jarrett Jack","PG","6-3",200,"October 28 1983","9","Georgia Institute of Technology","Nets"
"316","21","Cory Jefferson","PF","6-9",218,"December 26 1990","R","Baylor University","Nets"
"317","7","Joe Johnson","SG","6-7",240,"June 29 1981","13","University of Arkansas","Nets"
"318","9","Jerome Jordan","C","7-0",253,"September 29 1986","1","University of Tulsa","Nets"
"319","10","Sergey Karasev","SG","6-7",208,"October 26 1993","1","","Nets"
"320","47","Andrei Kirilenko","SF","6-9",220,"February 18 1981","12","","Nets"
"321","11","Brook Lopez","C","7-0",275,"April 1 1988","6","Stanford University","Nets"
"322","14","Darius Morris","PG","6-4",190,"January 3 1991","3","University of Michigan","Nets"
"323","1","Mason Plumlee","C","6-11",245,"March 5 1990","1","Duke University","Nets"
"324","33","Mirza Teletovic","PF","6-9",242,"September 18 1985","2","","Nets"
"325","8","Deron Williams","PG","6-3",200,"June 26 1984","9","University of Illinois at Urbana-Champaign","Nets"
"326","30","Thaddeus Young","PF","6-8",221,"June 21 1988","7","Georgia Institute of Technology","Nets"
"327","10","Arron Afflalo","SG","6-5",210,"October 15 1985","7","University of California Los Angeles","Nuggets"
"328","0","Darrell Arthur","PF","6-9",235,"March 25 1988","5","University of Kansas","Nuggets"
"329","5","Will Barton","SG","6-6",175,"January 6 1991","2","University of Memphis","Nuggets"
"330","21","Wilson Chandler","SF","6-8",225,"May 10 1987","7","DePaul University","Nuggets"
"331","20","Ian Clark","SG","6-3",175,"March 7 1991","1","Belmont University","Nuggets"
"332","35","Kenneth Faried","PF","6-8",228,"November 19 1989","3","Morehead State University","Nuggets"
"333","4","Randy Foye","SG","6-4",213,"September 24 1983","8","Villanova University","Nuggets"
"334","22","Jamaal Franklin","SG","6-5",191,"July 21 1991","1","San Diego State University","Nuggets"
"335","8","Danilo Gallinari","SF","6-10",225,"August 8 1988","5","","Nuggets"
"336","1","Alonzo Gee","SF","6-6",225,"May 29 1987","5","University of Alabama","Nuggets"
"337","11","Erick Green","PG","6-4",185,"May 9 1991","R","Virginia Polytechnic Institute and State University","Nuggets"
"338","14","Gary Harris","SG","6-4",210,"September 14 1994","R","Michigan State University","Nuggets"
"339","7","J.J. Hickson","C","6-9",242,"September 4 1988","6","North Carolina State University","Nuggets"
"340","77","Joffrey Lauvergne","C","6-11",220,"September 30 1991","R","","Nuggets"
"341","3","Ty Lawson","PG","5-11",195,"November 3 1987","5","University of North Carolina","Nuggets"
"342","34","JaVale McGee","C","7-0",270,"January 19 1988","6","University of Nevada Reno","Nuggets"
"343","25","Timofey Mozgov","C","7-1",275,"July 16 1986","4","","Nuggets"
"344","28","Jameer Nelson","PG","6-0",190,"February 9 1982","10","Saint Joseph's University","Nuggets"
"345","23","Jusuf Nurkic","C","7-0",280,"August 23 1994","R","","Nuggets"
"346","5","Nate Robinson","PG","5-9",180,"May 31 1984","9","University of Washington","Nuggets"
"347","5","Lavoy Allen","PF","6-9",255,"February 4 1989","3","Temple University","Pacers"
"348","22","Chris Copeland","SF","6-9",239,"March 17 1984","2","University of Colorado","Pacers"
"349","13","Paul George","SF","6-9",220,"May 2 1990","4","California State University Fresno","Pacers"
"350","55","Roy Hibbert","C","7-2",270,"December 11 1986","6","Georgetown University","Pacers"
"351","3","George Hill","PG","6-3",188,"May 4 1986","6","Indiana University-Purdue University Indianapolis","Pacers"
"352","44","Solomon Hill","SF","6-7",225,"March 18 1991","1","University of Arizona","Pacers"
"353","28","Ian Mahinmi","C","6-11",250,"November 5 1986","6","","Pacers"
"354","0","C.J. Miles","SG","6-6",231,"April 18 1987","9","","Pacers"
"355","12","A.J. Price","PG","6-2",181,"October 7 1986","5","University of Connecticut","Pacers"
"356","9","Damjan Rudez","SF","6-10",228,"June 17 1986","R","","Pacers"
"357","4","Luis Scola","PF","6-9",240,"April 30 1980","7","","Pacers"
"358","15","Donald Sloan","PG","6-3",205,"January 15 1988","3","Texas A&amp;M University","Pacers"
"359","2","Rodney Stuckey","PG","6-5",205,"April 21 1986","7","Eastern Washington University","Pacers"
"360","32","C.J. Watson","PG","6-2",175,"April 17 1984","7","University of Tennessee","Pacers"
"361","21","David West","PF","6-9",250,"August 29 1980","11","Xavier University","Pacers"
"362","42","Shayne Whittington","PF","6-11",250,"March 27 1991","R","Western Michigan University","Pacers"
"363","42","Alexis Ajinca","C","7-2",248,"May 6 1988","4","","Pelicans"
"364","33","Ryan Anderson","PF","6-10",240,"May 6 1988","6","University of California","Pelicans"
"365","3","Omer Asik","C","7-0",255,"July 4 1986","4","","Pelicans"
"366","8","Luke Babbitt","SF","6-9",225,"June 20 1989","4","University of Nevada Reno","Pelicans"
"367","30","Norris Cole","PG","6-2",175,"October 13 1988","3","Cleveland State University","Pelicans"
"368","0","Dante Cunningham","PF","6-8",230,"April 22 1987","5","Villanova University","Pelicans"
"369","23","Anthony Davis","PF","6-10",253,"March 11 1993","2","University of Kentucky","Pelicans"
"370","16","Toney Douglas","PG","6-2",195,"March 16 1986","5","Florida State University","Pelicans"
"371","1","Tyreke Evans","SF","6-6",220,"September 19 1989","5","University of Memphis","Pelicans"
"372","32","Jimmer Fredette","PG","6-2",195,"February 25 1989","3","Brigham Young University","Pelicans"
"373","10","Eric Gordon","SG","6-4",215,"December 25 1988","6","Indiana University","Pelicans"
"374","11","Jrue Holiday","PG","6-4",205,"June 12 1990","5","University of California Los Angeles","Pelicans"
"375","24","Gal Mekel","PG","6-3",191,"March 4 1988","1","Wichita State University","Pelicans"
"376","2","Darius Miller","SF","6-8",235,"March 21 1990","2","University of Kentucky","Pelicans"
"377","20","Quincy Pondexter","SF","6-7",220,"March 10 1988","4","University of Washington","Pelicans"
"378","25","Austin Rivers","SG","6-4",200,"August 1 1992","2","Duke University","Pelicans"
"379","15","John Salmons","SF","6-7",210,"December 12 1979","12","University of Miami","Pelicans"
"380","9","Russ Smith","PG","6-0",165,"April 19 1991","R","University of Louisville","Pelicans"
"381","2","Elliot Williams","SG","6-5",190,"June 20 1989","2","University of Memphis","Pelicans"
"382","5","Jeff Withey","C","7-0",231,"March 7 1990","1","University of Kansas","Pelicans"
"383","4","Nate Wolters","PG","6-4",190,"May 15 1991","1","South Dakota State University","Pelicans"
"384","50-50-50-50-50-50-50-50-50-50-50","Joel Anthony","C","6-9",245,"August 9 1982","7","University of Nevada Las Vegas","Pistons"
"385","14","D.J. Augustin","PG","6-0",183,"November 10 1987","6","University of Texas at Austin","Pistons"
"386","31","Caron Butler","SF","6-7",228,"March 13 1980","12","University of Connecticut","Pistons"
"387","5","Kentavious Caldwell-Pope","SG","6-5",205,"February 18 1993","1","University of Georgia","Pistons"
"388","13","Luigi Datome","SF","6-8",215,"November 27 1987","1","","Pistons"
"389","8","Spencer Dinwiddie","PG","6-6",200,"April 6 1993","R","University of Colorado","Pistons"
"390","0","Andre Drummond","C","6-11",279,"August 10 1993","2","University of Connecticut","Pistons"
"391","1","Reggie Jackson","PG","6-3",208,"April 16 1990","3","Boston College","Pistons"
"392","7","Brandon Jennings","PG","6-1",169,"September 23 1989","5","","Pistons"
"393","33","Jonas Jerebko","PF","6-10",231,"March 2 1987","4","","Pistons"
"394","9","John Lucas III","PG","5-11",165,"November 21 1982","6","Oklahoma State University","Pistons"
"395","35","Cartier Martin","SF","6-7",220,"November 20 1984","6","Kansas State University","Pistons"
"396","20","Jodie Meeks","SG","6-4",208,"August 21 1987","5","University of Kentucky","Pistons"
"397","20","Quincy Miller","PF","6-9",210,"November 18 1992","2","Baylor University","Pistons"
"398","10","Greg Monroe","PF","6-11",265,"June 4 1990","4","Georgetown University","Pistons"
"399","22","Tayshaun Prince","SF","6-9",212,"February 28 1980","12","University of Kentucky","Pistons"
"400","25","Kyle Singler","SF","6-8",228,"May 4 1988","2","Duke University","Pistons"
"401","6","Josh Smith","PF","6-9",225,"December 5 1985","10","","Pistons"
"402","43","Anthony Tolliver","PF","6-8",240,"June 1 1985","6","Creighton University","Pistons"
"403","3","Shawne Williams","SF","6-9",225,"February 16 1986","6","University of Memphis","Pistons"
"404","5","Bruno Caboclo","SF","6-9",205,"September 21 1995","R","","Raptors"
"405","10","DeMar DeRozan","SG","6-7",220,"August 7 1989","5","University of Southern California","Raptors"
"406","2","Landry Fields","SF","6-7",210,"June 27 1988","4","Stanford University","Raptors"
"407","50","Tyler Hansbrough","PF","6-9",250,"November 3 1985","5","University of North Carolina","Raptors"
"408","44","Chuck Hayes","C","6-6",240,"June 11 1983","9","University of Kentucky","Raptors"
"409","15","Amir Johnson","PF","6-9",240,"May 1 1987","9","","Raptors"
"410","3","James Johnson","PF","6-9",250,"February 20 1987","5","Wake Forest University","Raptors"
"411","7","Kyle Lowry","PG","6-0",205,"March 25 1986","8","Villanova University","Raptors"
"412","92","Lucas Nogueira","C","7-0",220,"July 26 1992","R","","Raptors"
"413","54","Patrick Patterson","PF","6-9",235,"March 14 1989","4","University of Kentucky","Raptors"
"414","31","Terrence Ross","SF","6-7",195,"February 5 1991","2","University of Washington","Raptors"
"415","34","Greg Stiemsma","C","6-11",260,"September 26 1985","3","University of Wisconsin","Raptors"
"416","17","Jonas Valanciunas","C","7-0",255,"May 6 1992","2","","Raptors"
"417","21","Greivis Vasquez","PG","6-6",217,"January 16 1987","4","University of Maryland","Raptors"
"418","23","Lou Williams","SG","6-1",175,"October 27 1986","9","","Raptors"
"419","1","Trevor Ariza","SF","6-8",215,"June 30 1985","10","University of California Los Angeles","Rockets"
"420","2","Patrick Beverley","PG","6-1",185,"July 12 1988","2","University of Arkansas","Rockets"
"421","10","Tarik Black","C","6-9",250,"November 22 1991","R","University of Kansas","Rockets"
"422","33","Corey Brewer","SF","6-9",186,"March 5 1986","7","University of Florida","Rockets"
"423","0","Isaiah Canaan","PG","6-0",201,"May 21 1991","1","Murray State University","Rockets"
"424","15","Clint Capela","C","6-10",240,"May 18 1994","R","","Rockets"
"425","30","Troy Daniels","SG","6-4",205,"July 15 1991","1","Virginia Commonwealth University","Rockets"
"426","8","Joey Dorsey","PF","6-8",268,"December 16 1983","3","University of Memphis","Rockets"
"427","32","Francisco Garcia","SF","6-7",195,"December 31 1981","9","University of Louisville","Rockets"
"428","13","James Harden","SG","6-5",220,"August 26 1989","5","Arizona State University","Rockets"
"429","12","Dwight Howard","C","6-11",265,"December 8 1985","10","","Rockets"
"430","3","Nick Johnson","SG","6-3",202,"December 22 1992","R","University of Arizona","Rockets"
"431","6","Terrence Jones","PF","6-9",252,"January 9 1992","2","University of Kentucky","Rockets"
"432","32","K.J. McDaniels","SG","6-6",205,"February 9 1993","R","Clemson University","Rockets"
"433","20","Donatas Motiejunas","PF","7-0",222,"September 20 1990","2","","Rockets"
"434","16","Kostas Papanikolaou","SF","6-8",225,"July 31 1990","R","","Rockets"
"435","9","Pablo Prigioni","PG","6-3",185,"May 17 1977","2","","Rockets"
"436","88","Alexey Shved","SG","6-6",190,"December 16 1988","2","","Rockets"
"437","5","Josh Smith","PF","6-9",225,"December 5 1985","10","","Rockets"
"438","31","Jason Terry","SG","6-2",185,"September 15 1977","15","University of Arizona","Rockets"
"439","1","Kyle Anderson","SF","6-9",230,"September 20 1993","R","University of California Los Angeles","Spurs"
"440","11","Jeff Ayres","PF","6-9",240,"April 29 1987","4","Arizona State University","Spurs"
"441","16","Aron Baynes","C","6-10",260,"December 9 1986","2","Washington State University","Spurs"
"442","3","Marco Belinelli","SG","6-5",210,"March 25 1986","7","","Spurs"
"443","15","Matt Bonner","PF","6-10",235,"April 5 1980","10","University of Florida","Spurs"
"444","23","Austin Daye","SF","6-11",220,"June 5 1988","5","Gonzaga University","Spurs"
"445","33","Boris Diaw","PF","6-8",250,"April 16 1982","11","","Spurs"
"446","21","Tim Duncan","PF","6-11",250,"April 25 1976","17","Wake Forest University","Spurs"
"447","20","Manu Ginobili","SG","6-6",205,"July 28 1977","12","","Spurs"
"448","14","Danny Green","SG","6-6",215,"June 22 1987","5","University of North Carolina","Spurs"
"449","41","JaMychal Green","PF","6-9",227,"June 21 1990","R","University of Alabama","Spurs"
"450","5","Cory Joseph","PG","6-3",190,"August 20 1991","3","University of Texas at Austin","Spurs"
"451","2","Kawhi Leonard","SF","6-7",230,"June 29 1991","3","San Diego State University","Spurs"
"452","8","Patrick Mills","PG","6-0",185,"August 11 1988","5","Saint Mary's College of California","Spurs"
"453","9","Tony Parker","PG","6-2",185,"May 17 1982","13","","Spurs"
"454","22","Tiago Splitter","C","6-11",245,"January 1 1985","4","","Spurs"
"455","55","Reggie Williams","SF","6-6",205,"September 14 1986","5","Virginia Military Institute","Spurs"
"456","30","Earl Barron","C","7-0",250,"August 14 1981","7","University of Memphis","Suns"
"457","2","Eric Bledsoe","PG","6-1",190,"December 9 1989","4","University of Kentucky","Suns"
"458","25","Reggie Bullock","SF","6-7",205,"March 16 1991","1","University of North Carolina","Suns"
"459","10","Seth Curry","PG","6-2",185,"August 23 1990","1","Duke University","Suns"
"460","1","Goran Dragic","SG","6-3",190,"May 6 1986","6","","Suns"
"461","10","Zoran Dragic","SG","6-5",200,"June 22 1989","R","","Suns"
"462","4","Tyler Ennis","PG","6-3",194,"August 24 1994","R","Syracuse University","Suns"
"463","20","Archie Goodwin","SG","6-5",200,"August 17 1994","1","University of Kentucky","Suns"
"464","14","Gerald Green","SG","6-7",205,"January 26 1986","7","","Suns"
"465","3","Brandon Knight","SG","6-3",189,"December 2 1991","3","University of Kentucky","Suns"
"466","21","Alex Len","C","7-1",260,"June 16 1993","1","University of Maryland","Suns"
"467","8","Jerel McNeal","PG","6-3",200,"June 1 1987","R","Marquette University","Suns"
"468","15","Marcus Morris","PF","6-9",235,"September 2 1989","3","University of Kansas","Suns"
"469","11","Markieff Morris","PF","6-10",245,"September 2 1989","3","University of Kansas","Suns"
"470","22","Miles Plumlee","C","6-11",249,"September 1 1988","2","Duke University","Suns"
"471","1","A.J. Price","PG","6-2",181,"October 7 1986","5","University of Connecticut","Suns"
"472","43","Shavlik Randolph","PF","6-10",240,"November 24 1983","7","Duke University","Suns"
"473","3","Isaiah Thomas","PG","5-9",185,"February 7 1989","3","University of Washington","Suns"
"474","23","Marcus Thornton","SG","6-4",205,"June 5 1987","5","Louisiana State University","Suns"
"475","40","Anthony Tolliver","PF","6-8",240,"June 1 1985","6","Creighton University","Suns"
"476","17","P.J. Tucker","SF","6-6",245,"May 5 1985","3","University of Texas at Austin","Suns"
"477","12","T.J. Warren","SF","6-8",230,"September 5 1993","R","North Carolina State University","Suns"
"478","32","Brandan Wright","PF","6-10",210,"October 5 1987","6","University of North Carolina","Suns"
"479","4","Arron Afflalo","SG","6-5",210,"October 15 1985","7","University of California Los Angeles","TB"
"480","12","LaMarcus Aldridge","PF","6-11",240,"July 19 1985","8","University of Texas at Austin","TB"
"481","5","Will Barton","SG","6-6",175,"January 6 1991","2","University of Memphis","TB"
"482","88","Nicolas Batum","SF","6-8",200,"December 14 1988","6","","TB"
"483","5","Steve Blake","PG","6-3",172,"February 26 1980","11","University of Maryland","TB"
"484","18","Victor Claver","SF","6-9",224,"August 30 1988","2","","TB"
"485","23","Allen Crabbe","SG","6-6",210,"April 9 1992","1","University of California","TB"
"486","10","Tim Frazier","PG","6-1",170,"November 1 1990","R","Pennsylvania State University","TB"
"487","19","Joel Freeland","C","6-10",250,"February 7 1987","2","","TB"
"488","33","Alonzo Gee","SF","6-6",225,"May 29 1987","5","University of Alabama","TB"
"489","35","Chris Kaman","C","7-0",265,"April 28 1982","11","Central Michigan University","TB"
"490","11","Meyers Leonard","C","7-1",245,"February 27 1992","2","University of Illinois at Urbana-Champaign","TB"
"491","0","Damian Lillard","PG","6-3",195,"July 15 1990","2","Weber State University","TB"
"492","42","Robin Lopez","C","7-0",255,"April 1 1988","6","Stanford University","TB"
"493","2","Wesley Matthews","SG","6-5",220,"October 14 1986","5","Marquette University","TB"
"494","3","C.J. McCollum","SG","6-4",200,"September 19 1991","1","Lehigh University","TB"
"495","41","Thomas Robinson","PF","6-10",237,"March 17 1991","2","University of Kansas","TB"
"496","1","Dorell Wright","SF","6-7",200,"December 2 1985","10","","TB"
"497","12","Steven Adams","C","7-0",255,"July 20 1993","1","University of Pittsburgh","Thunder"
"498","14","D.J. Augustin","PG","6-0",183,"November 10 1987","6","University of Texas at Austin","Thunder"
"499","4","Nick Collison","PF","6-10",255,"October 26 1980","10","University of Kansas","Thunder"
"500","35","Kevin Durant","SF","6-9",240,"September 29 1988","7","University of Texas at Austin","Thunder"
"501","9","Serge Ibaka","PF","6-10",245,"September 18 1989","5","","Thunder"
"502","15","Reggie Jackson","PG","6-3",208,"April 16 1990","3","Boston College","Thunder"
"503","7","Grant Jerrett","PF","6-10",235,"July 8 1993","R","University of Arizona","Thunder"
"504","3","Perry Jones","SF","6-11",235,"September 24 1991","2","Baylor University","Thunder"
"505","34","Enes Kanter","C","6-11",245,"May 20 1992","3","","Thunder"
"506","11","Jeremy Lamb","SG","6-5",185,"May 30 1992","2","University of Connecticut","Thunder"
"507","33","Mitch McGary","PF","6-10",255,"June 6 1992","R","University of Michigan","Thunder"
"508","2","Anthony Morrow","SG","6-5",210,"September 27 1985","6","Georgia Institute of Technology","Thunder"
"509","6","Steve Novak","PF","6-10",225,"June 13 1983","8","Marquette University","Thunder"
"510","5","Kendrick Perkins","C","6-10",270,"November 10 1984","11","","Thunder"
"511","21","Andre Roberson","SG","6-7",210,"December 4 1991","1","University of Colorado","Thunder"
"512","5","Kyle Singler","SF","6-8",228,"May 4 1988","2","Duke University","Thunder"
"513","8","Ish Smith","PG","6-0",175,"July 5 1988","4","Wake Forest University","Thunder"
"514","31","Sebastian Telfair","PG","6-0",165,"June 9 1985","9","","Thunder"
"515","42","Lance Thomas","SF","6-8",235,"April 24 1988","3","Duke University","Thunder"
"516","23","Dion Waiters","SG","6-4",225,"December 10 1991","2","Syracuse University","Thunder"
"517","0","Russell Westbrook","PG","6-3",200,"November 12 1988","6","University of California Los Angeles","Thunder"
"518","12","Jeff Adrien","PF","6-7",245,"February 10 1986","4","University of Connecticut","Timberwolves"
"519","24","Anthony Bennett","PF","6-8",245,"March 14 1993","1","University of Nevada Las Vegas","Timberwolves"
"520","13","Corey Brewer","SF","6-9",186,"March 5 1986","7","University of Florida","Timberwolves"
"521","7","Lorenzo Brown","PG","6-5",189,"August 26 1990","1","North Carolina State University","Timberwolves"
"522","10","Chase Budinger","SF","6-7",209,"May 22 1988","5","University of Arizona","Timberwolves"
"523","30","Troy Daniels","SG","6-4",205,"July 15 1991","1","Virginia Commonwealth University","Timberwolves"
"524","5","Gorgui Dieng","C","6-11",241,"January 18 1990","1","University of Louisville","Timberwolves"
"525","21","Kevin Garnett","PF","6-11",240,"May 19 1976","19","","Timberwolves"
"526","41","Justin Hamilton","C","7-0",260,"April 1 1990","1","Louisiana State University","Timberwolves"
"527","4","Robbie Hummel","SF","6-8",215,"March 8 1989","1","Purdue University","Timberwolves"
"528","1","Sean Kilpatrick","SG","6-4",210,"January 6 1990","R","University of Cincinnati","Timberwolves"
"529","8","Zach LaVine","PG","6-5",189,"March 10 1995","R","University of California Los Angeles","Timberwolves"
"530","23","Kevin Martin","SG","6-7",199,"February 1 1983","10","Western Carolina University","Timberwolves"
"531","15","Shabazz Muhammad","SG","6-6",223,"November 13 1992","1","University of California Los Angeles","Timberwolves"
"532","12","Gary Neal","SG","6-4",210,"October 3 1984","4","Towson University","Timberwolves"
"533","50","Arinze Onuaku","C","6-9",275,"July 13 1987","1","Syracuse University","Timberwolves"
"534","3","Adreian Payne","PF","6-10",237,"February 19 1991","R","Michigan State University","Timberwolves"
"535","14","Nikola Pekovic","C","6-11",307,"January 3 1986","4","","Timberwolves"
"536","13","Miroslav Raduljica","C","7-0",250,"January 5 1988","1","","Timberwolves"
"537","1","Glenn Robinson III","SG","6-7",222,"January 8 1994","R","University of Michigan","Timberwolves"
"538","9","Ricky Rubio","PG","6-4",194,"October 21 1990","3","","Timberwolves"
"539","32","Ronny Turiaf","C","6-10",249,"January 13 1983","9","Gonzaga University","Timberwolves"
"540","22","Andrew Wiggins","SG","6-8",199,"February 23 1995","R","University of Kansas","Timberwolves"
"541","25","Mo Williams","PG","6-1",198,"December 19 1982","11","University of Alabama","Timberwolves"
"542","33","Thaddeus Young","PF","6-8",221,"June 21 1988","7","Georgia Institute of Technology","Timberwolves"
"543","19","Leandro Barbosa","SG","6-3",194,"November 28 1982","11","","Warriors"
"544","40","Harrison Barnes","SF","6-8",210,"May 30 1992","2","University of North Carolina","Warriors"
"545","12","Andrew Bogut","C","7-0",260,"November 28 1984","9","University of Utah","Warriors"
"546","30","Stephen Curry","PG","6-3",185,"March 14 1988","5","Davidson College","Warriors"
"547","31","Festus Ezeli","C","6-11",255,"October 21 1989","1","Vanderbilt University","Warriors"
"548","23","Draymond Green","PF","6-7",230,"March 4 1990","2","Michigan State University","Warriors"
"549","7","Justin Holiday","SG","6-6",185,"April 5 1989","1","University of Washington","Warriors"
"550","9","Andre Iguodala","SG","6-6",207,"January 28 1984","10","University of Arizona","Warriors"
"551","1","Ognjen Kuzmic","C","7-1",251,"May 16 1990","1","","Warriors"
"552","10","David Lee","PF","6-9",245,"April 29 1983","9","University of Florida","Warriors"
"553","34","Shaun Livingston","PG","6-7",182,"September 11 1985","9","","Warriors"
"554","20","James Michael McAdoo","PF","6-9",230,"January 4 1993","R","University of North Carolina","Warriors"
"555","4","Brandon Rush","SG","6-6",210,"July 7 1985","6","University of Kansas","Warriors"
"556","5","Marreese Speights","PF","6-10",255,"August 4 1987","6","University of Florida","Warriors"
"557","11","Klay Thompson","SG","6-7",205,"February 8 1990","3","Washington State University","Warriors"
"558","3","Bradley Beal","SG","6-5",207,"June 28 1993","2","University of Florida","Wizards"
"559","45","DeJuan Blair","PF","6-7",270,"April 22 1989","5","University of Pittsburgh","Wizards"
"560","8","Rasual Butler","SF","6-7",215,"May 23 1979","11","La Salle University","Wizards"
"561","1","Will Bynum","SG","6-0",185,"January 4 1983","7","Georgia Institute of Technology","Wizards"
"562","90","Drew Gooden","PF","6-10",250,"September 24 1981","12","University of Kansas","Wizards"
"563","4","Marcin Gortat","C","6-11",240,"February 17 1984","7","","Wizards"
"564","42","Nene Hilario","PF","6-11",250,"September 13 1982","12","","Wizards"
"565","43","Kris Humphries","PF","6-9",235,"February 6 1985","10","University of Minnesota","Wizards"
"566","24","Andre Miller","PG","6-3",200,"March 19 1976","15","University of Utah","Wizards"
"567","1","Toure' Murry","SG","6-5",195,"November 8 1989","1","Wichita State University","Wizards"
"568","34","Paul Pierce","SF","6-7",235,"October 13 1977","16","University of Kansas","Wizards"
"569","22","Otto Porter","SF","6-8",198,"June 3 1993","1","Georgetown University","Wizards"
"570","14","Glen Rice","SG","6-6",206,"January 1 1991","1","Georgia Institute of Technology","Wizards"
"571","13","Kevin Seraphin","C","6-10",278,"December 7 1989","4","","Wizards"
"572","7","Ramon Sessions","PG","6-3",190,"April 11 1986","7","University of Nevada Reno","Wizards"
"573","17","Garrett Temple","SG","6-6",195,"May 8 1986","4","Louisiana State University","Wizards"
"574","2","John Wall","PG","6-4",195,"September 6 1990","4","University of Kentucky","Wizards"
"575","9","Martell Webster","SF","6-7",230,"December 4 1986","9","","Wizards"
